yelp_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,fsq_id,poi_id,poi_category
tqWvu-0eSw3zIHCS5JCv9Q,Halal Fried Chicken,restaurants,0.0,0,43.240417900679375,-79.8503095,600 Concession Street,L8V 1B3,,AW4337,restaurants
J4YHSb0I1Bf-pe2sFUgZ4A,Halibut House,restaurants,4.0,1,43.2622566828126,-79.88898490315994,50 Dundurn Street S,L8P 4W3,,DW6588,restaurants
752Fv2jKafftvoS3Twkqyg,Hambrgr,restaurants,4.3,216,43.25721,-79.8669,49 King William Street,L8R 1A2,,DE0552,restaurants
TqMma1y2oMUn7X7CUa326A,Hambrgr Ottawa Street,restaurants,4.1,75,43.24838,-79.81775,207 Ottawa Street N,L8H 3Z4,,VN4823,restaurants
whso0yBAN6Jy3nit3rQFUw,Hamilton Children's Museum,museums,3.0,2,43.2438511,-79.8256512,1072 Main Street E,L8M 1N6,,FB3171,museums
QEEMb8Z5c26B27-lFIbwug,Hamilton Indoor Go Karts,amusementparks,2.7,3,43.25428,-79.824,193 Cavell Avenue,L8L 8C9,,BH6819,amusementparks
ciKjlKZPXRyZTixw7Pi49g,Hammerhead's On Ottawa,restaurants,4.4,22,43.24474,-79.81852,80 Ottawa Street N,L8H 3Z1,,LI2704,restaurants
DZ4BUTej-Z0g1W-JsXFufQ,Hammerheads Fresh On Locke,restaurants,5.0,2,43.2566109880824,-79.88546280326133,140 Locke Street S,L8P 4B1,,SK0578,restaurants
cJG7xTMdpy-Y4Lr58hzuyw,Hanma Japanese Foods,restaurants,4.8,4,43.2668435,-79.9581774,105A King Street W Dundas ON,L9H 1V1,,QO9104,restaurants
ItFdUxjIkl4OTXiKQ1nNHw,Harbour Diner,restaurants,3.7,65,43.2694,-79.86329,486 James Street N,L8L 1J1,,MK0336,restaurants
safSQcTBtCS0-oBBQOuy4A,Harry's Fish and Chips,restaurants,4.1,18,43.225085,-79.828481,1138 Fennell Avenue E,L8T 1S5,,KF4007,restaurants
cNrc64c_LjDEv3M6bGKIoQ,Harvey's,restaurants,2.0,3,43.25011,-79.81131,1200 Barton St E,L8H 2V7,,TC6322,restaurants
DPzwj8gqTUowk8a3b_jyKw,Harvey's,restaurants,3.0,4,43.23191,-79.85649,550 Fennell Avenue E,L8V 4S9,,VC1451,restaurants
JGTS8uZC9XwYtwISDom6-w,Heal,restaurants,3.3,3,43.240643462464,-79.8511624932541,584 Concession Street,L8V 1B1,,CL6488,restaurants
mI8NkQYtv5L3ldY-mi48kg,Hi-Line Centre Pizza & Wings,restaurants,2.0,14,43.24771,-79.82858,1150 King Street E,L8M 1E8,,KH7303,restaurants
8BWj3CORhDKsIkkpdeHL2Q,Homemade Noodles,restaurants,4.4,9,43.2554837113039,-79.8649081215262,135 King Street E,L8N 1B2,,NS1250,restaurants
